,Director,Director Counts
846,Jon Amiel,6
847,Peter Howitt,4
848,"Aaron Blaise, Robert Walker",1
849,"Stephen Hillenburg, Mark Osborne",1
850,Darren Grant,2
851,John Maybury,3
852,Elizabeth Allen Rosenbaum,3
853,James Gartner,1
854,Bill Condon,7
855,Joby Harold,1
856,Robert Ben Garant,2
857,Scott Wiper,1
858,Lajos Koltai,1
859,Martin Weisz,1
860,Scott Frank,1
861,Steve Bendelack,1
862,Mennan Yapo,1
863,Jon Poll,1
864,Ed Harris,2
865,Robert B. Weide,3
866,Tony Leondis,1
867,Carter Smith,1
868,Gina Prince-Bythewood,2
869,"Sam Fell, Robert Stevenhagen",1
870,Jody Hill,2
871,Steve Shill,1
872,Steve Carr,5
873,Scott Cooper,1
874,Michael Lembeck,5
875,Sngmoo Lee,1
876,"Stephen J. Anderson, Don Hall",1
877,"Chris Kentis, Laura Lau",1
878,Alex Kendrick,4
879,Daniel Barnz,3
880,Jeff Renfroe,1
881,Eduardo Rodriguez,2
882,Kimble Rendall,1
883,Perry Bhandal,1
884,David Weaver,1
885,Keoni Waxman,2
886,Aaron Harvey,1
887,Bruce Beresford,18
888,Kenneth Lonergan,2
889,Mike Gunther,1
890,Oren Moverman,2
891,Michael Knowles,1
892,Jon Hewitt,1
893,Douglas Aarniokoski,2
894,Whit Stillman,3
895,Adam Green,3
896,Massy Tadjedin,1
897,James Keach,1
898,Emilio Estevez,5
899,Sebastian Gutierrez,3
900,David Michôd,1
901,John Stalberg Jr.,1
902,William Monahan,2
903,Stuart Hazeldine,1
904,Ben Ramsey,1
905,Betty Thomas,7
906,Rick Jacobson,1
907,Scott Mann,1
908,Scott Sanders,2
909,Gregg Araki,4
910,Gregory Wilson,1
911,David Ross,1
912,Mark Mylod,3
913,Desmond Davis,2
914,Ryan Gosling,1
915,Tobe Hooper,10
916,Just Jaeckin,3
917,Sean S. Cunningham,4
918,"Lou Adler, Tommy Chong",1
919,"Jim Henson, Frank Oz",1
920,Richard Lester,11
921,Savage Steve Holland,2
922,Michael Schultz,9
923,Tom Holland,5
924,Don Bluth,3
925,Mary Lambert,5
926,Harry Hook,1
927,Alan J. Pakula,11
928,Jack Bender,2
929,Bernard Rose,5
930,"Annabel Jankel, Rocky Morton",2
931,Steven E. de Souza,1
932,Andrew Fleming,7
933,James Foley,10
934,Luis Llosa,4
935,Robert Townsend,4
936,John R. Leonetti,2
937,David Mirkin,2
938,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",1
939,Roger Spottiswoode,11
940,"Eric Leighton, Ralph Zondag",1
941,Robert Altman,19
942,Callie Khouri,2
943,Marcus Raboy,1
944,Ed Decter,1
945,David McNally,2
946,Kevin Costner,3
947,Carl Franklin,5
948,Pitof,2
949,Tommy O'Haver,3
950,Sean McNamara,6
951,Don Mancini,1
952,John Polson,2
953,Florent-Emilio Siri,1
954,Clare Kilner,3
955,Susan Stroman,1
956,"Steve Box, Nick Park",1
957,Richard Loncraine,8
958,Phil Joanou,4
959,Tony Goldwyn,4
960,Jessica Bendinger,1
961,Pedro Almodóvar,1
962,Richard Eyre,5
963,"Oliver Hirschbiegel, James McTeigue",1
964,Kevin Munroe,2
965,"David Moreau, Xavier Palud",1
966,Jeff Lowell,1
967,Mark Palansky,1
968,Christine Jeffs,2
969,Michael McCullers,1
970,"Danny Pang, Oxide Chun Pang",2
971,Marcel Langenegger,1
972,Gavin O'Connor,6
973,Craig Mazin,2
974,Diane English,1
975,Susanna White,3
