,Director,Director Counts
3763,Robert Berlinger,1
3764,Jon Jones,4
3765,Clay Weiner,1
3766,Lev L. Spiro,1
3767,Oz Scott,1
3768,"Jim Wheat, Ken Wheat",1
3769,"Steve Binder, David Acomba",1
3770,Vadim Jean,1
3771,Iain B. MacDonald,1
3772,LeVar Burton,1
3773,Harry Harris,1
3774,Larry Shaw,1
3775,Mike Robe,1
3776,John Kent Harrison,4
3777,Michael Landon Jr.,1
3778,"Jane Anderson, Martha Coolidge, Anne Heche",1
3779,D.J. MacHale,1
3780,"Leslie Libman, Larry Williams",2
3781,"Nicholas Corea, Bill Bixby",1
3782,Steven Hilliard Stern,1
3783,David Hare,1
3784,Michael Simon,2
3785,Moira Armstrong,1
3786,Peter Levin,3
3787,Chris Gerolmo,1
3788,Brian Kirk,1
3789,John Bradshaw,1
3790,Ross Shuman,1
3791,Paul Ziller,1
3792,Colm McCarthy,1
3793,Doug Campbell,2
3794,"Adam Nix, Evan Nix",1
3795,Jamie Mitchell,1
3796,Mark Brooks,1
3797,Victor Gonzalez,1
3798,Jeffrey Reiner,1
3799,Michelle Mower,1
3800,Michael Feifer,1
3801,Joe Knee,1
3802,Kate Dennis,1
3803,Jace Alexander,1
3804,James Hawes,2
3805,David Jackson,1
3806,Fuminori Kizaki,1
3807,David S. Cass Sr.,2
3808,Gary Harvey,1
3809,David Attwood,2
3810,Gregory Doran,1
3811,James Steven Sadwith,1
3812,Brent Shields,1
3813,"Robert Hughes, Dan Povenmire",1
3814,Kirk R. Thatcher,2
3815,Marc Daniels,1
3816,Tom Clegg,17
3817,Moisés Kaufman,1
3818,Mariano Barroso,1
3819,Douglas Schwartz,1
3820,Diarmuid Lawrence,1
3821,Andrew Grieve,6
3822,"Curt Geda, Butch Lukic, Dan Riba, Yukio Suzuki",1
3823,Alex Zamm,1
3824,Lawrence O'Neil,1
3825,Herbert Wise,6
3826,Steve Loter,1
3827,Nick Marck,1
3828,Rod Hardy,1
3829,Eriq La Salle,1
3830,Philip Martin,4
3831,Christopher Reeve,1
3832,Richard Clabaugh,1
3833,"Stephen Frears, Martin Pasetta",1
3834,Roland Mesa,1
3835,"Terry Hughes, Harold Prince",1
3836,Marty Callner,4
3837,"Cher, Nancy Savoca",1
3838,Toshihiko Masuda,1
3839,David Wu,1
3840,"Jorge Montesi, Dominique Othenin-Girard",1
3841,"Peter Harris, Eric Till",1
3842,Douglas Camfield,1
3843,Lee Rose,1
3844,Syd Macartney,1
3845,Stuart Margolin,2
3846,Arch Nicholson,1
3847,"Eric Idle, Gary Weis",1
3848,John Newland,1
3849,Andy Wolk,1
3850,Glenn Jordan,6
3851,"Charles A. Nichols, Ray Patterson",1
3852,"John Carpenter, Tobe Hooper, Larry Sulkis",1
3853,Lesley Manning,1
3854,Donald P. Bellisario,1
3855,Brian Mills,1
3856,Bill Bixby,1
3857,Philip DeGuere Jr.,1
3858,Manny Rodriguez,5
3859,Shannon Hartman,6
3860,Charlie Palmer,1
3861,John Strickland,1
3862,Pete Circuitt,1
3863,Richard A. Colla,2
3864,Steven Robman,1
3865,Niall MacCormick,2
3866,Jeremy Lovering,1
3867,Lawrence Schiller,1
3868,Benjamin Ross,1
3869,Richard Boden,1
3870,Raoul Peck,1
3871,Jerry London,2
3872,Robert L. Collins,1
3873,David Wheatley,2
3874,Edward Bazalgette,2
3875,Karen Arthur,1
3876,Douglas Cohen,1
3877,"Marvin J. Chomsky, John Goldsmith",1
3878,Rocco Urbisci,6
3879,Seth Green,3
3880,Chris McKay,1
3881,"Roy Burdine, Lloyd Goldfine(co-director)",1
3882,David Thacker,1
3883,Jigar Talati,1
3884,Alan C. Blomquist,1
3885,Hamish Hamilton,2
3886,John Henderson,1
3887,Michael Elliott,1
3888,Philip Casson,1
3889,"Beth McCarthy-Miller, Jerry Mitchell",1
3890,Alice Huzar,1
3891,"Hamish Hamilton, Steve Webb",1
3892,Stephen Whittaker,1
3893,David Moore,1
3894,David Tucker,1
3895,"Costa Botes, Peter Jackson",1
3896,Ryan Polito,2
3897,Louis J. Horvitz,2
3898,Michael Vejar,1
3899,Paul Wendkos,2
3900,George McCowan,1
3901,Leslie H. Martinson,1
3902,John Llewellyn Moxey,2
3903,Richard Irving,2
3904,Burt Brinckerhoff,1
3905,Lee Philips,1
3906,"Michele L. Band, Larry Jacobs",1
3907,Sarah Pia Anderson,1
3908,Michael Drumm,5
3909,Rodney Gibbons,1
3910,Tim Whitby,1
3911,Julie Dash,1
3912,Boris Sagal,2
3913,Giacomo Battiato,1
3914,Larry Elikann,1
3915,Bill Corcoran,2
3916,Fabrizio Costa,1
3917,Gary Johnstone,1
3918,Robert Day,1
3919,Justin Hardy,1
3920,Paul Wilmshurst,1
3921,David Sheehan,1
3922,Howard Davies,1
3923,Peter Nicholson,1
3924,Stuart Urban,1
3925,Jon Scoffield,1
3926,Lee H. Katzin,1
3927,Philippa Lowthorpe,1
3928,Paul Marcus,1
3929,Bryn Higgins,1
3930,George Veras,1
3931,Terry Johnson,1
3932,Neil Rawles,1
3933,Chris Bould,1
3934,"Karen Disher, Guy Moore",1
3935,Peter Hammond,1
3936,Karen Disher,1
3937,Steven J. Santos,1
3938,"Koreyoshi Kurahara, Roger Spottiswoode",1
3939,"Beth McCarthy-Miller, Dave Wilson",1
3940,Bruce Gowers,1
3941,Andy De Emmony,3
3942,Chris Prynoski,1
3943,Danny Antonucci,1
3944,Ian Sander,1
3945,Alasdair Macmillan,1
3946,Jonathan Miller,4
3947,Mark Hall,1
3948,"Daniel Mann, Joseph Sargent",1
3949,Rodney Bennett,1
3950,John Moffitt,1
3951,Kirk Browning,2
3952,Yasunao Aoki,1
3953,Mario Piluso,1
3954,Roger Holzberg,1
3955,Greg Garrison,1
3956,Ralph Hemecker,1
3957,Bernard McEveety,1
3958,Lonny Price,1
3959,Paul Kafno,2
3960,Jane Howell,4
3961,Paul Seed,1
3962,Lou Antonio,1
3963,"Paul Reubens, Marty Callner",1
3964,James Naughton,1
3965,Charles McDougall,1
3966,John Gorrie,1
3967,"Curt Geda, Scott Jeralds, Dan Riba",1
3968,Kit Hood,1
3969,Elijah Moshinsky,2
3970,Andrew Hutton,1
3971,Debbie Allen,1
3972,Jonny Campbell,1
3973,Nicholas Renton,1
3974,Patrick Reams,1
3975,Don McBrearty,1
3976,Louise Osmond,1
3977,Gary Smith,1
3978,Phil Monroe,1
3979,Kathy Bates,1
3980,John Davies,1
3981,John Sichel,1
3982,Michael Jenkins,1
3983,Simon Cellan Jones,2
3984,"Matthew Diamond, Blake Edwards, Goro Kobayashi",1
3985,Jon East,1
3986,"Hamish Hamilton, Dee Koppang O'Leary",1
3987,Dwight Hemion,1
3988,Michael Landon,1
3989,Michael Stevens,1
3990,Jon Stone,3
3991,Greg Bailey,1
3992,Allen Newman,1
3993,Eric Cochran,1
3994,"Joey Figueroa, Zak Knutson",1
3995,Bobby Roth,1
3996,Norman Stone,1
3997,"Peter Coe, Terry Hughes",1
3998,Richard Michaels,2
3999,Daniel Mann,1
4000,Kenneth Fink,1
4001,Michael Samuels,2
4002,Jack Hofsiss,1
4003,David Giles,4
4004,Patrick Lau,1
4005,Lisa Wolfinger,1
4006,Tim Prokop,1
4007,Russ Mayberry,1
4008,Tim Southam,1
4009,Peter Hoar,1
4010,Arthur Allan Seidelman,1
4011,Edwin Sherin,1
4012,"Richard Dale, Kim Bour, Pamela Gordon, Sally Weale",1
4013,"Phil Roman, Doug Frankel, Bob Scott, Ruth Kissane(co-director), Bill Littlejohn(co-director), Bob Nesler(co-director), George Singer(co-director), John Sparey(co-director)",1
4014,"Al Campbell, Lorry Powles",1
4015,"Steve Clark, Terence Harrison, Alan Zaslove",1
4016,Peter Kay,1
4017,Russell Thomas,1
4018,Donald Crombie,2
4019,"David Copperfield, Peter Care",1
4020,"Kevin Gillis, Paul Schibli",1
4021,Ray Lee,1
4022,Peter Harris,2
4023,Jonas Grimås,1
4024,Don Weiner,1
4025,Jim Fitzpatrick,1
4026,Paul McCartney,1
4027,Anthony Giordano,1
4028,Jackie Cooper,1
4029,"John Moffitt, Jerry Seinfeld",1
4030,Lodovico Gasparini,1
4031,Jessica Hobbs,1
4032,Jack Kenny,1
4033,Simon Dinsell,1
4034,Édouard Lock,1
4035,"Jack Zander, Lars Calonius(co-director)",1
4036,Kevin Billington,1
4037,Dave Unwin,1
4038,"Don Roy King, Eric D. Schaeffer",1
4039,"Wilford Leach, Joshua White",1
4040,Alvin Rakoff,2
4041,"Jim Henson, David G. Hillier",1
4042,Benjamin Caron,2
4043,Stuart Burge,2
4044,Tom Gianas,1
4045,Kenneth Glenaan,1
4046,Mark Haber,1
4047,Lynn-Maree Danzey,1
4048,Geoff Posner,1
4049,Kevin Sullivan,1
4050,"Henry Trotter, Chris Waitt",1
4051,Scott Garen,1
4052,David Richards,1
4053,"Ryan Polito, Jake Szymanski",1
4054,Dennis Kirkland,1
4055,John Kaye Cooper,1
4056,Cherie Nowlan,1
4057,Harvey Medlinsky,1
4058,Dick Bartlett,1
4059,Tony Dow,1
4060,Francis Vose,1
4061,Delyth Thomas,1
4062,James T. Walker,1
4063,Edward Bennett,1
4064,Cilla Ware,1
4065,John Glenister,1
4066,Masaaki Ôsumi,1
4067,"David Coleman, Andy Nyman",1
4068,"Tom Kinninmont, Peter O'Toole",1
4069,John Blanchard,1
4070,Michael Ray Rhodes,1
4071,"Peter Butler, Craig Schaefer",1
4072,Carl Hindmarch,1
4073,Dominic Savage,1
4074,"Rich Arons, Michael Gerard, Rusty Mills, Greg Reyna",1
4075,Leslie Stevens,1
4076,Ryan Coogler,1
4077,Peter Sohn,1
4078,Tim Miller,1
4079,Leslie Dektor,1
4080,"Greg Tiernan, Conrad Vernon",1
4081,Rupert Goold,1
4082,Luca Guadagnino,1
4083,F. Javier Gutiérrez,1
4084,"John Francis Daley, Jonathan Goldstein",2
4085,Andy Serkis,1
4086,"Scott Beck, Bryan Woods",1
4087,"Andrew Stanton, Angus MacLane(co-director)",1
4088,"Alessandro Carloni, Jennifer Yuh Nelson",1
4089,"Mike Mitchell, Walt Dohrn(co-director)",1
4090,Tim Johnson,1
4091,Cedric Nicolas-Troyan,1
4092,Michael Gracey,1
4093,Steven S. DeKnight,1
4094,"Clay Kaytis, Fergal Reilly",1
4095,Jon Watts,1
4096,Christian Ditter,1
4097,Etan Cohen,1
4098,Tom Harper,1
4099,Stephen S. Campanelli,1
4100,"Andrew Mogel, Jarrad Paul",1
4101,Dean DeBlois,1
4102,Nic Mathieu,1
4103,Lee Toland Krieger,1
4104,Woo-Ping Yuen,1
4105,David F. Sandberg,1
4106,Alexandre Moors,1
4107,Ariel Vromen,1
4108,Aleksander Bach,1
4109,Thea Sharrock,1
4110,"Travis Cluff, Chris Lofing",1
4111,Leigh Whannell,1
4112,Elizabeth Banks,1
4113,Ken Scott,1
4114,Gregory Plotkin,1
4115,Robbie Pickering,1
4116,Babak Najafi,1
4117,Christopher Landon,1
4118,Steve Martino,1
4119,Jason Zada,1
4120,Dennis Gansel,1
4121,"Byron Howard, Rich Moore, Jared Bush(co-director)",1
4122,Dave Green,1
4123,"Mike Thurmeier, Galen T. Chu(co-director)",1
4124,Dean Devlin,1
4125,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)",1
4126,Jordan Vogt-Roberts,1
4127,"Zebediah De Soto, Krisztian Majdik",1
4128,"Garth Jennings, Christophe Lourdelet(co-director)",1
4129,Travis Knight,1
4130,Denis Villeneuve,3
4131,Dan Trachtenberg,1
4132,Todd McFarlane,1
4133,Roar Uthaug,1
4134,"Guillermo del Toro, Mark Gustafson(co-director)",1
4135,Felix van Groeningen,1
4136,Donovan Marsh,1
4137,"Tom Gianas, Ross Shuman",1
4138,Destin Daniel Cretton,1
4139,Jeremy Garelick,1
4140,Ricardo de Montreuil,1
4141,Jay Martin,1
4142,Julius Sevcík,1
4143,Bradley Cooper,1
4144,John Lee,1
4145,Mathew Cullen,1
4146,Brad Leo Lyon,1
4147,"Aaron Nee, Adam Nee",1
4148,"Kevin Kölsch, Dennis Widmyer",1
4149,Stefano Sollima,1
4150,Christopher Dillon Quinn,1
4151,Gilles Paquet-Brenner,1
4152,Tristan Patterson,1
4153,Nae Caranfil,1
4154,Henry Hobson,1
4155,"Norman Stone, Gary Wing-Lun Mak(co-director)",1
4156,Michael Grandage,1
4157,Jay Oliva,1
4158,Mark Osborne,1
4159,Beth McCarthy-Miller,1
4160,Bradley Kaplan,1
4161,Don Cheadle,1
4162,Andy Goddard,1
4163,Angelina Jolie,1
4164,Josh Boone,1
4165,Chad Stahelski,1
