,Actor Names,Actor Counts
503,Betsy Baker,1
504,Chadwick Boseman,2
505,Nicole Beharie,2
506,Christopher Meloni,2
507,Jane Levy,2
508,Shiloh Fernandez,4
509,Lou Taylor Pucci,8
510,Jessica Lucas,4
511,Ashley Tisdale,7
512,Simon Rex,3
513,Gracie Whitton,1
514,Ava Kolker,1
515,Catherine Zeta-Jones,15
516,Jeffrey Wright,7
517,Sean Penn,30
518,Holt McCallany,2
519,Wade Williams,1
520,James Landry Hébert,1
521,Anthony Mackie,11
522,Tony Shalhoub,11
523,Malin Akerman,9
524,Liam Cunningham,9
525,Richard Brake,2
526,Jessica Chastain,12
527,Nikolaj Coster-Waldau,4
528,Megan Charpentier,1
529,Isabelle Nélisse,1
530,Forest Whitaker,26
531,Jessica Szohr,1
532,Jonathan Bennett,4
533,Nikki Reed,4
534,Sullivan Stapleton,1
535,Lena Headey,9
536,Hans Matheson,2
537,Jurnee Smollett-Bell,3
538,Lance Gross,1
539,Kim Kardashian West,1
540,Vanessa Williams,11
541,Toni Collette,20
542,Allison Janney,6
543,AnnaSophia Robb,7
544,Keri Russell,9
545,Josh Hamilton,7
546,Dakota Goyo,3
547,Kadan Rockett,1
548,Christian Slater,30
549,Sofya Skya,1
550,Cole Hauser,11
551,Angus Macfadyen,10
552,Logan Lerman,7
553,Alexandra Daddario,5
554,Leven Rambin,1
555,Katie Chang,1
556,Israel Broussard,1
557,Emma Watson,6
558,Claire Julien,1
559,Melissa McCarthy,3
560,Jon Favreau,10
561,Katherine Heigl,14
562,Diane Keaton,30
563,Amanda Seyfried,13
564,Mark Strong,14
565,Johnny Harris,2
566,Kristin Scott Thomas,18
567,Vithaya Pansringarm,1
568,Gordon Brown,1
569,Lawrence Anthony,1
570,Jerry L. Buxbaum,1
571,Jamin Watson,1
572,Jeremiah Grace,1
573,Dennis Quaid,45
574,Greg Kinnear,21
575,Common,2
576,Charlie Saxton,2
577,Abigail Spencer,3
578,Morgana Shaw,1
579,Emily Alyn Lind,2
580,Chad Michael Murray,3
581,Michael Eklund,1
582,Ashleigh Craig,1
583,Cody Hamilton,1
584,Lucas Till,4
585,Crystal Reed,2
586,Gemma Arterton,7
587,Pihla Viitala,1
588,Max Burkholder,1
589,Adelaide Kane,1
590,Jon Bernthal,4
591,Robert Duvall,36
592,Louise Fletcher,6
593,Will Sampson,4
594,Michael Berryman,3
595,Billy Dee Williams,7
596,Karen Allen,9
597,Paul Freeman,7
598,Ronald Lacey,2
599,Marlon Brando,12
600,Martin Sheen,16
601,Frederic Forrest,8
602,Tom Skerritt,13
603,Veronica Cartwright,6
604,Harry Dean Stanton,16
605,Rutger Hauer,20
606,Sean Young,12
607,Edward James Olmos,7
608,Dee Wallace,7
609,Henry Thomas,10
610,Peter Coyote,9
611,Robert MacNaughton,1
612,C. Thomas Howell,10
613,Matt Dillon,25
614,Ralph Macchio,9
615,Patrick Swayze,18
616,Steven Bauer,8
617,Mary Elizabeth Mastrantonio,11
618,Bill Murray,29
619,Dan Aykroyd,31
620,Harold Ramis,5
621,Charlie Sheen,27
622,Arnold Schwarzenegger,30
623,Michael Biehn,17
624,Linda Hamilton,10
625,Paul Winfield,6
626,Matthew Modine,17
627,Adam Baldwin,4
628,Vincent D'Onofrio,18
629,R. Lee Ermey,5
630,Bonnie Bedelia,11
631,Reginald VelJohnson,3
632,Jean Reno,13
633,Danny Aiello,14
634,Stephen Baldwin,8
635,Gabriel Byrne,22
636,Benicio Del Toro,14
637,Kevin Pollak,15
638,Val Kilmer,33
639,Jon Voight,22
640,Bill Pullman,18
641,Mary McDonnell,8
642,Ben Affleck,30
643,John Mighton,1
644,Billy Bob Thornton,23
645,Liv Tyler,10
646,Laura Linney,19
647,Noah Emmerich,7
648,Natascha McElhone,11
649,Kevin Spacey,31
650,Annette Bening,20
651,Thora Birch,9
652,Wes Bentley,8
653,Joey Lauren Adams,6
654,Jon Stewart,3
655,Cole Sprouse,1
656,David Morse,16
657,Bonnie Hunt,9
658,Michael Clarke Duncan,8
659,Brendan Fraser,23
660,John Hannah,7
661,Arnold Vosloo,5
662,Ron Livingston,5
663,Jennifer Aniston,17
664,David Herman,1
665,Ajay Naidu,2
666,Haley Joel Osment,6
667,Olivia Williams,9
668,Kelsey Grammer,8
669,Justin Theroux,4
670,Josh Lucas,13
671,Bill Sage,3
672,Carmen Electra,5
673,Dave Sheridan,1
674,Frank B. Moore,1
675,Giacomo Baessato,1
676,Dennis Farina,9
677,Vinnie Jones,6
678,Mary Gibbs,1
679,Rip Torn,13
680,Lara Flynn Boyle,6
681,Harvey Keitel,39
682,Tobey Maguire,13
683,Kirsten Dunst,28
684,Rumi Hiiragi,1
685,Miyu Irino,1
686,Mari Natsuki,1
687,Takashi Naitô,1
688,Christopher Lee,18
689,Donald Sutherland,38
690,Ray Anthony,1
691,Christine Anu,1
692,Andy Arness,1
693,Alima Ashton-Sheibu,1
694,Orlando Bloom,8
695,Keira Knightley,13
696,Albert Finney,15
697,Billy Crudup,16
698,Jessica Lange,24
699,Uma Thurman,24
700,Vivica A. Fox,11
701,Daryl Hannah,19
702,Vince Vaughn,18
703,Christine Taylor,6
704,Ben Stiller,26
705,Scott Mechlowicz,5
706,Jacob Pitts,1
707,Kristin Kreuk,3
708,Cathy Meils,1
709,Richard Griffiths,7
710,Pam Ferris,1
711,Fiona Shaw,4
712,Craig T. Nelson,13
713,Holly Hunter,15
714,Jason Lee,14
715,Jon Heder,6
716,Aaron Ruell,1
717,Efren Ramirez,3
718,Simon Pegg,9
719,Kate Ashfield,5
720,Nick Frost,3
721,Lucy Davis,1
722,Karina Arroyave,1
723,Dato Bakhtadze,1
724,Sandra Bullock,32
725,Georgie Henley,3
726,Skandar Keynes,3
727,William Moseley,3
728,Anna Popplewell,2
729,Eric Sykes,1
730,Timothy Spall,13
731,David Tennant,8
732,Owen Wilson,25
733,Paul Newman,21
734,Larry the Cable Guy,6
735,Ivana Baquero,2
736,Sergi López,2
737,Maribel Verdú,1
738,Doug Jones,2
739,Brandon Routh,3
740,Kate Bosworth,10
741,James Marsden,11
742,Sacha Baron Cohen,6
743,Gary Cole,8
744,Julia Stiles,10
745,David Strathairn,19
746,Timothy Olyphant,9
747,Justin Long,17
748,Maggie Q,5
749,Patton Oswalt,6
750,Ian Holm,21
751,Lou Romano,1
752,Brian Dennehy,18
753,Michael Cera,8
754,Christopher Mintz-Plasse,4
755,Bill Hader,4
756,Daniel Day-Lewis,13
757,Martin Stringer,1
758,Matthew Braden Stringer,1
759,Jacob Stringer,1
760,Jamie Bell,12
761,Rachel Bilson,5
762,Clint Eastwood,33
763,Christopher Carley,1
764,Bee Vang,1
765,Ahney Her,1
766,William Hurt,30
767,Danny McBride,10
768,Kevin Corrigan,2
769,Seann William Scott,14
770,Bobb'e J. Thompson,1
771,Mary Steenburgen,19
772,Angelina Jolie,30
773,Terence Stamp,14
774,Jason Cope,1
775,Nathalie Boltt,1
776,Sylvaine Strike,1
777,Dave Legeno,2
778,Elarica Johnson,1
779,Colm Meaney,7
780,Bruce McGill,9
781,Moon Bloodgood,4
782,Matthew Goode,10
783,Jackie Earle Haley,7
784,Quinton 'Rampage' Jackson,1
785,Mia Wasikowska,8
786,Anne Hathaway,19
787,Barbara Hershey,16
788,Ray Stevenson,5
789,Jason Flemyng,7
790,Rose Byrne,8
791,Tyler McKinney,1
792,Zoe Salmon,1
793,Bill Nighy,15
794,Harry Melling,2
795,Derek Jeter,1
796,Brandon T. Jackson,3
797,Jake Abel,1
798,Cate Blanchett,26
799,Daniel Olbrychski,1
800,Rebecca Hall,6
801,Jon Hamm,4
802,Cameron Diaz,25
803,Lucy Punch,2
804,Ramon Rodriguez,1
805,Will Rothhaar,1
806,Cory Hardrict,1
807,Emily Mortimer,15
808,Buck Taylor,1
809,Matthew Taylor,1
810,Peter Sarsgaard,15
811,Steve Wiebe,2
812,Charlie Day,2
813,Teresa Palmer,8
814,Dianna Agron,1
815,Mia Stallard,2
816,Jeremy Owen,1
817,Karen Disher,2
818,Jason Fricchione,1
819,Sofia Scarpa Saldanha,1
820,Andy Serkis,6
821,Karin Konoval,2
822,Terry Notary,1
823,Richard Ridings,1
824,Lucy Hale,4
825,Roger Jackson,4
826,Shenae Grimes-Beech,1
827,Dane Farwell,1
828,Vera Farmiga,13
829,Emily Browning,5
830,Jena Malone,14
831,Tien You Chui,1
832,Josie Ho,2
833,Daria Strokous,1
834,George Clooney,26
835,Shailene Woodley,5
836,Amara Miller,1
837,Nick Krause,1
838,Philip Seymour Hoffman,21
839,Paul Giamatti,22
840,Mickey Rourke,27
841,Freida Pinto,2
842,Evangeline Lilly,3
843,John Hurt,33
844,Zoltán Mucsi,1
845,Péter Kálloy Molnár,1
846,Thomas Haden Church,9
847,Colin Ford,2
848,Benjamin Walker,3
849,Dominic Cooper,8
850,Tyler Perry,11
851,Matthew Fox,6
852,Elisabeth Shue,15
853,Ingrid Bolsø Berdal,1
854,Dimitri Diatchenko,1
855,Olivia Taylor Dudley,1
856,Devin Kelley,1
857,Alex Russell,1
858,Michael B. Jordan,4
859,Michael Kelly,2
860,Josh Stewart,2
861,Emma Fitzpatrick,1
862,Christopher McDonald,11
863,Lee Tergesen,2
864,Robert Wahlberg,1
865,Jason Mitchell,1
866,Paul LeBlanc,1
867,Sayed Badreya,1
868,Rocky Citron,1
869,Liam Campora,1
870,Victoria Justice,1
871,Jackson Nicoll,1
872,Chelsea Handler,1
873,Josh Pence,1
874,Dermot Mulroney,21
875,Dallas Roberts,5
876,Gina Carano,1
877,Michael Angarano,11
878,Debby Lynn Ross,1
879,Max Thieriot,6
880,Gil Bellows,3
881,Aziz Ansari,3
882,Joy Behar,1
883,Christopher Campbell,1
884,Alain Chabat,2
885,Vincent Regan,3
886,Joseph Gilgun,2
887,Danny DeVito,35
888,Zac Efron,13
889,Taylor Swift,1
890,David Schwimmer,8
891,Jada Pinkett Smith,14
892,Jennifer Garner,13
893,Joel Edgerton,8
894,CJ Adams,2
895,Odeya Rush,2
896,Kodi Smit-McPhee,6
897,Tucker Albrizzi,2
898,Casey Affleck,13
899,Dania Ramirez,2
900,Sean Kennedy,1
901,Kym Perfetto,1
902,Luke Evans,2
903,Alice Eve,4
904,Brendan Gleeson,13
905,Milla Jovovich,18
906,Sienna Guillory,6
907,Michelle Rodriguez,9
908,Aryana Engineer,1
909,Adelaide Clemens,1
910,Kit Harington,2
911,Sean Bean,44
912,Alan Alda,14
913,Richard Ayoade,1
914,Edgar Ramírez,5
915,Arron Shiver,3
916,Titos Menchaca,1
917,Richard Dillard,1
918,Kang-ho Song,3
919,Ed Harris,34
920,Nicole Kidman,39
921,David Alford,1
922,Helen Mirren,30
923,Gabriella Wilde,1
924,Portia Doubleday,2
925,Kristen Wiig,8
926,Benjamin Bratt,11
927,Miranda Cosgrove,1
928,Maggie Gyllenhaal,9
929,Jordi Mollà,5
930,Matt Nable,1
931,Katee Sackhoff,4
932,Elizabeth Olsen,4
933,Jayne Eastwood,1
934,Pam Hyatt,1
935,Cary Elwes,19
936,Quvenzhané Wallis,1
937,Dwight Henry,1
938,Levy Easterly,1
939,Lowell Landes,1
940,Dennis Lafond,1
941,Sam Riley,6
942,Jodelle Ferland,5
943,Stephen McHattie,4
944,William B. Davis,2
945,Chase Williamson,1
946,Rob Mayes,1
947,Clancy Brown,10
948,Toby Irvine,1
949,Sally Hawkins,6
950,Dominic West,7
951,Imelda Staunton,9
952,Isaac Hempstead Wright,1
953,Lucy Walters,1
954,Mari-Ange Ramirez,1
955,Patrick Pearson,1
956,Hugh Dickson,1
957,Dominique McElligott,1
958,Rosie Shaw,1
959,Brian Geraghty,3
960,Joe Pantoliano,11
961,Mark Boone Junior,5
962,Holmes Osborne,3
963,Daveigh Chase,3
964,Roberto Benigni,6
965,Steven Wright,2
966,Joie Lee,1
967,Cinqué Lee,2
968,Edward Furlong,11
969,Beverly D'Angelo,12
970,Jennifer Lien,2
971,Ewen Bremner,4
972,Jonny Lee Miller,8
973,Kevin McKidd,3
974,Michael Madsen,15
975,Chris Penn,6
976,Jason London,4
977,Shawn Andrews,1
978,Shelley Duvall,7
979,Danny Lloyd,1
980,Scatman Crothers,5
981,Jennifer Connelly,21
982,Ray Winstone,15
983,Chris Pratt,4
984,Dave Bautista,3
985,Will Arnett,12
986,Alan Ritchson,1
987,Kellan Lutz,3
988,Ario Bayu,1
989,Verdi Solaiman,1
990,Miles Teller,5
991,Skylar Astin,3
992,Justin Chon,1
993,Sarah Wright,1
994,Jennifer Lopez,18
995,Michael Chiklis,6
996,Wendell Pierce,1
997,Johan Matton,1
998,Linnea Larsdotter,1
999,Emrhys Cooper,1
1000,Astrea Campbell-Cobb,1
1001,Rob Corddry,6
1002,Ricky Gervais,4
1003,Jonathan Morgan Heit,1
1004,Mischa Barton,7
1005,Devon Sawa,7
1006,J. Michael Trautmann,1
1007,Aasif Mandvi,1
1008,Blake Anderson,1
1009,Allison Bills,1
1010,Jim Conroy,1
1011,David A.R. White,1
1012,Brian Bosworth,2
1013,Andrea Logan White,1
1014,Roy Scheider,14
1015,Robert Shaw,9
1016,Richard Dreyfuss,29
1017,Lorraine Gary,5
1018,Roger Moore,14
1019,Britt Ekland,3
1020,Maud Adams,4
1021,Diahnne Abbott,3
1022,Frank Adu,3
1023,Victor Argo,1
1024,Gino Ardito,1
1025,Carrie Henn,1
1026,Paul Reiser,4
1027,Tom Berenger,27
1028,Keith David,12
1029,Wil Wheaton,2
1030,River Phoenix,10
1031,Jerry O'Connell,13
1032,Carl Weathers,8
1033,Elpidia Carrillo,5
1034,Bill Duke,3
1035,Thomas F. Wilson,3
1036,Robin Williams,37
1037,Robert Sean Leonard,6
1038,Josh Charles,5
1039,Sean Connery,32
1040,Denholm Elliott,15
1041,Alison Doody,1
1042,Dustin Hoffman,31
1043,Valeria Golino,9
1044,Gerald R. Molen,1
1045,Bob Hoskins,23
1046,Joanna Cassidy,7
1047,Charles Fleischer,2
1048,Macaulay Culkin,10
1049,Joe Pesci,18
1050,Daniel Stern,14
1051,John Heard,17
1052,Rachel Ticotin,5
1053,Sharon Stone,25
1054,Ronny Cox,13
1055,Gene Hackman,47
1056,Embeth Davidtz,9
1057,Marcus Gilbert,2
1058,Ian Abercrombie,1
1059,Art LaFleur,2
1060,Tom Guiry,4
1061,Mike Vitar,1
1062,Patrick Renna,1
1063,Brandon Lee,3
1064,Rochelle Davis,1
1065,Ernie Hudson,8
1066,Michael Wincott,4
1067,Jeff Daniels,26
1068,Lauren Holly,6
1069,Mike Starr,3
1070,Joseph Melito,1
1071,Jon Seda,2
1072,Michael Chance,1
1073,William H. Macy,17
1074,Peter Stormare,8
1075,Kristin Rudrüd,1
1076,John Spencer,1
1077,Luis Guzmán,9
1078,Burt Reynolds,35
1079,Rico Bueno,1
1080,James Cromwell,13
1081,Maura Tierney,8
1082,Justin Cooper,1
1083,Pete Postlethwaite,4
1084,Arliss Howard,4
1085,Linda Fiorentino,9
1086,Michael Lee Gogin,1
